audit_category,legal_entity_id,selection_name,resolved_legal_entity,parent_organization,observed_source_names,observed_legal_employer_locations,source_ids,match_statuses,minimum_match_score,location_conflict_observations,location_conflict_source_rows,resolution_confidence,human_override_required,existing_reviewers,audit_review_status,reviewer,reviewer_note,relevant_lca_count,relevant_perm_count,uscis_approval_count,research_spending
COMPANY_OR_OTHER_EMPLOYER,legal_source_3e0c47f1f421ea53999b,Microsoft Corporation,Microsoft Corporation,,Microsoft Corporation | MICROSOFT CORPORATION | Microsoft Corporation  | Microsoft  Corporation ,"REDMOND, WA",dol_lca | dol_perm | uscis_h1b,DETERMINISTIC,1.0,0,0,HIGH,NO_EVIDENT_NEED,,PENDING_HUMAN_REVIEW,,,10136,8724,9247,0
COMPANY_OR_OTHER_EMPLOYER,legal_source_d811d874e4fbe1749972,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,,COGNIZANT TECHNOLOGY SOLUTIONS US CORP | COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION | COGNIZANT TECH SOLUTIONS US CORP,"COLLEGE STATION, TX",dol_lca | dol_perm | uscis_h1b,DETERMINISTIC,1.0,0,0,HIGH,NO_EVIDENT_NEED,,PENDING_HUMAN_REVIEW,,,12612,2219,7200,0
COMPANY_OR_OTHER_EMPLOYER,legal_source_ae47dbbe9657897136ab,Google LLC,Google LLC,,Google LLC | GOOGLE LLC,"MOUNTAIN VIEW, CA",dol_lca | dol_perm | uscis_h1b,DETERMINISTIC,1.0,0,0,HIGH,NO_EVIDENT_NEED,,PENDING_HUMAN_REVIEW,,,7010,7096,14088,0
COMPANY_OR_OTHER_EMPLOYER,legal_source_3a2dae8efb3d74fb7d48,INFOSYS LIMITED,INFOSYS LIMITED,,INFOSYS LIMITED | INFOSYS LTD. | INFOSYS LTD,"RICHARDSON, TX",dol_lca | dol_perm | uscis_h1b,DETERMINISTIC,1.0,0,0,HIGH,NO_EVIDENT_NEED,,PENDING_HUMAN_REVIEW,,,7959,2493,12434,0
COMPANY_OR_OTHER_EMPLOYER,legal_source_13bf1ff21b360dbd0ceb,Apple Inc.,Apple Inc.,,Apple Inc. | APPLE INC. | APPLE INC,"CUPERTINO, CA",dol_lca | dol_perm | uscis_h1b,DETERMINISTIC,1.0,0,0,HIGH,NO_EVIDENT_NEED,,PENDING_HUMAN_REVIEW,,,5849,3042,11448,0
COMPANY_OR_OTHER_EMPLOYER,legal_source_00eee56d10b3ccbb9042,TATA CONSULTANCY SERVICES LIMITED,TATA CONSULTANCY SERVICES LIMITED,,TATA CONSULTANCY SERVICES LIMITED | Tata Consultancy Services Limited | TATA CONSULTANCY SVCS LTD | TATA CONSULTANCY SERVICES LTD,"ROCKVILLE, MD",dol_lca | dol_perm | uscis_h1b,DETERMINISTIC,1.0,0,0,HIGH,NO_EVIDENT_NEED,,PENDING_HUMAN_REVIEW,,,7810,429,15291,0
COMPANY_OR_OTHER_EMPLOYER,legal_source_c166941b32aa89c44cda,Ernst & Young U.S. LLP,Ernst & Young U.S. LLP,,Ernst & Young U.S. LLP | ERNST AND YOUNG U S LLP | ERNST & YOUNG U.S. LLP,"SECAUCUS, NJ",dol_lca | dol_perm | uscis_h1b,DETERMINISTIC,1.0,0,0,HIGH,NO_EVIDENT_NEED,,PENDING_HUMAN_REVIEW,,,5520,178,1647,0
COMPANY_OR_OTHER_EMPLOYER,legal_source_f201b3217ffdf52cddfd,Deloitte Consulting LLP,Deloitte Consulting LLP,,Deloitte Consulting LLP | DELOITTE CONSULTING LLP,"PHILADELPHIA, PA",dol_lca | dol_perm | uscis_h1b,DETERMINISTIC,1.0,0,0,HIGH,NO_EVIDENT_NEED,,PENDING_HUMAN_REVIEW,,,3702,1886,7057,0
COMPANY_OR_OTHER_EMPLOYER,legal_source_29d480d9de9b4986a12d,JPMorgan Chase & Co.,JPMorgan Chase & Co.,,JPMorgan Chase & Co. | JPMORGAN CHASE & CO. | JPMorgan Chase & Co.  | JPMORGAN CHASE AND CO | JPMORGAN CHASE & CO | JPMorgan Chase & Co | JPMORGAN  CHASE & CO. | JPMorgan Chase& Co. ,"CHICAGO, IL",dol_lca | dol_perm | uscis_h1b,DETERMINISTIC,1.0,0,0,HIGH,NO_EVIDENT_NEED,,PENDING_HUMAN_REVIEW,,,3821,876,5999,0
COMPANY_OR_OTHER_EMPLOYER,legal_source_1a64103b7eca33fb7f8c,Accenture LLP,Accenture LLP,,Accenture LLP | ACCENTURE LLP,"CHICAGO, IL | TORONTO",dol_lca | dol_perm | uscis_h1b,DETERMINISTIC,1.0,0,0,HIGH,NO_EVIDENT_NEED,,PENDING_HUMAN_REVIEW,,,3466,1097,4094,0
