priority_rank,institution,legal_employer,parent_system,fact_type,extracted_value,source_url,supporting_excerpt,page_title,retrieved_at,campus_system_scope,extractor_confidence,review_status,reviewer,reviewer_note
1,Northeastern University,Northeastern University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
1,Northeastern University,Northeastern University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
1,Northeastern University,Northeastern University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
1,Northeastern University,Northeastern University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
2,University of Southern California,University of Southern California,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
2,University of Southern California,University of Southern California,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
2,University of Southern California,University of Southern California,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
2,University of Southern California,University of Southern California,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
3,University of California-Los Angeles,University of California-Los Angeles,University of California,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
3,University of California-Los Angeles,University of California-Los Angeles,University of California,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
3,University of California-Los Angeles,University of California-Los Angeles,University of California,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
3,University of California-Los Angeles,University of California-Los Angeles,University of California,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
4,Carnegie Mellon University,Carnegie Mellon University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
4,Carnegie Mellon University,Carnegie Mellon University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
4,Carnegie Mellon University,Carnegie Mellon University,NONE_RECORDED,perm_supported,YES,https://www.cmu.edu/oie/employment/resources/us-permanent-residency.html,"If a sponsored employee does not meet the requirements for EB-1 categories, the department/employer can apply to the DOL using PERM labor certification regulations and one of Carnegie Mellon’s pre-approved immigration attorneys.",U.S. Permanent Residency,2026-08-15T01:37:44.398707Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.99,REVIEWED_ACCEPTED,codex:phase7-operator,"Official HTTPS source, current page, institution scope, affirmative value, contradiction state, and exact supporting excerpt manually reviewed."
4,Carnegie Mellon University,Carnegie Mellon University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
5,University of California-San Diego,University of California-San Diego,University of California,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
5,University of California-San Diego,University of California-San Diego,University of California,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
